category,slashtag,kind
arts,/actors,topical
arts,/anime,topical
arts,/architecture,topical
arts,/aviation-museums,topical
arts,/ballet,topical
arts,/beatles,topical
arts,/bluegrass,topical
arts,/broadway,topical
arts,/comics,topical
arts,/dance,topical
arts,/disney,topical
arts,/film-festivals,topical
arts,/gossip,topical
arts,/grateful-dead,topical
arts,/guitars,topical
arts,/lyrics,topical
arts,/manga,topical
arts,/maritime-museums,topical
arts,/movies,topical
arts,/music,topical
arts,/music-festivals,topical
arts,/musical-instruments,topical
arts,/naruto,topical
arts,/opera,topical
arts,/orchestra-instruments,topical
arts,/photo-equipment,topical
arts,/photo-sharing,topical
arts,/photo-software,topical
arts,/photoblogs,topical
arts,/photography,topical
arts,/pianos,topical
arts,/pokemon,topical
arts,/railroad-museums,topical
arts,/spinal-tap,topical
arts,/stock-photo,topical
arts,/tabs,topical
arts,/tickets,topical
arts,/toy-museums,topical
arts,/webcomics,topical
arts,/world-instruments,topical
arts,/yarn-bombing,topical
autos,/auto-museums,topical
autos,/car-audio,topical
autos,/car-parts,topical
autos,/car-repair,topical
autos,/car-security,topical
autos,/car-tires,topical
autos,/cars,topical
autos,/classic-cars,topical
autos,/dmv,topical
autos,/gas-prices,topical
autos,/motorcycle-gear,topical
autos,/motorcycles,topical
autos,/traffic,topical
business,/accounting,topical
business,/advertising,topical
business,/career,topical
business,/conferencing,topical
business,/entrepreneurship,topical
business,/foreclosure,topical
business,/jobs,topical
business,/marketing,topical
business,/money-transfer,topical
business,/mortgage,topical
business,/productivity,topical
business,/promotional-products,topical
business,/public-relations,topical
business,/sem,topical
business,/seoblogs,topical
business,/seosites,topical
business,/smallbusiness,topical
computers,/api,topical
computers,/apple,topical
computers,/artificial-intelligence,topical
computers,/blogging,topical
computers,/bsd,topical
computers,/cloud,topical
computers,/computer-security,topical
computers,/css,topical
computers,/device-drivers,topical
computers,/email,topical
computers,/file-transfer,topical
computers,/hosting,topical
computers,/lisp,topical
computers,/microsoft,topical
computers,/mysql,topical
computers,/password-management,topical
computers,/php,topical
computers,/postgresql,topical
computers,/programming,topical
computers,/security-software,topical
computers,/sql,topical
computers,/sqlserver,topical
computers,/web-browsers,topical
computers,/web-development,topical
computers,/windows,topical
computers,/wordpress,topical
culture,/african-american,topical
culture,/american-indian,topical
culture,/baby,topical
culture,/baby-shower,topical
culture,/buddhism,topical
culture,/buddhist-products,topical
culture,/catholic,topical
culture,/charity,topical
culture,/christian-products,topical
culture,/christianity,topical
culture,/christmas,topical
culture,/conspiracies,topical
culture,/diapers,topical
culture,/divorce,topical
culture,/e-cards,topical
culture,/entertaining,topical
culture,/etiquette,topical
culture,/feminism,topical
culture,/genealogy,topical
culture,/green,topical
culture,/halloween,topical
culture,/hinduism,topical
culture,/holidays,topical
culture,/invitations,topical
culture,/islam,topical
culture,/jewish,topical
culture,/jewish-museums,topical
culture,/judaica,topical
culture,/judaism,topical
culture,/latino,topical
culture,/lgbt,topical
culture,/mormon,topical
culture,/online-dating,topical
culture,/organic,topical
culture,/parenting,topical
culture,/prom,topical
culture,/relationship-advice,topical
culture,/religion,topical
culture,/thanksgiving,topical
culture,/valentines-day,topical
culture,/wedding,topical
education,/colleges,topical
education,/edu-games,topical
education,/esl,topical
education,/financial-aid,topical
education,/grants,topical
education,/homeschool,topical
education,/homework-help,topical
education,/montessori,topical
education,/scholarships,topical
education,/special-education,topical
education,/teaching,topical
education,/term-papers,topical
education,/test-prep,topical
education,/textbooks,topical
education,/voc-ed,topical
education,/waldorf,topical
fashion,/antique-jewelry,topical
fashion,/athletic-apparel,topical
fashion,/beauty,topical
fashion,/big-and-tall,topical
fashion,/bridal-gowns,topical
fashion,/childrens-apparel,topical
fashion,/cosmetics,topical
fashion,/costumes,topical
fashion,/fashion,topical
fashion,/formal-dresses,topical
fashion,/hair,topical
fashion,/hairstyles,topical
fashion,/handbags,topical
fashion,/jeans,topical
fashion,/jerseys,topical
fashion,/jewelry,topical
fashion,/juniors-clothing,topical
fashion,/lingerie,topical
fashion,/maternity,topical
fashion,/mens-fashion,topical
fashion,/mens-formal,topical
fashion,/perfumes,topical
fashion,/plus-size,topical
fashion,/shoes,topical
fashion,/sunglasses,topical
fashion,/swimwear,topical
fashion,/t-shirts,topical
fashion,/ties,topical
fashion,/uniforms,topical
fashion,/watches,topical
fashion,/western-wear,topical
finance,/credit,topical
finance,/economics,topical
finance,/insurance,topical
finance,/irs,topical
finance,/money,topical
finance,/retirement,topical
finance,/taxes,topical
food,/bbq,topical
food,/beer,topical
food,/candy,topical
food,/cheese,topical
food,/chocolate,topical
food,/cocktails,topical
food,/coffee,topical
food,/cooking-tools,topical
food,/food,topical
food,/food-shopping,topical
food,/halal,topical
food,/liqueur,topical
food,/recipes,topical
food,/tea,topical
food,/whisky,topical
food,/wine,topical
government,/2012-election,topical
government,/campaign-finance,topical
government,/congress,topical
government,/domestic-violence,topical
government,/elections,topical
government,/federal-agencies,topical
government,/fraud,topical
government,/identity-theft,topical
government,/ows,topical
government,/peace-corps,topical
government,/politics,topical
government,/sopa,topical
government,/state-symbols,topical
government,/united-nations,topical
government,/urban-planning,topical
health,/acupuncture,topical
health,/allergies,topical
health,/alternative-medicine,topical
health,/alzheimers,topical
health,/aromatherapy,topical
health,/asthma,topical
health,/ayurveda,topical
health,/cancer,topical
health,/cardiology,topical
health,/celiac,topical
health,/dermatology,topical
health,/diabetes,topical
health,/diet,topical
health,/fitness,topical
health,/food-safety,topical
health,/health,topical
health,/hepatitis,topical
health,/herbal-medicine,topical
health,/hiv-aids,topical
health,/homeopathy,topical
health,/macrobiotics,topical
health,/medical-id,topical
health,/medications,topical
health,/multiple-sclerosis,topical
health,/nutrition,topical
health,/parkinsons,topical
health,/pediatrics,topical
health,/plasticsurgery,topical
health,/pregnancy,topical
health,/psych,topical
health,/sleep,topical
health,/substance-abuse,topical
health,/vaccines,topical
health,/yoga,topical
health,/yoga-equipment,topical
home,/cabinets,topical
home,/coffee-equipment,topical
home,/diy,topical
home,/furniture,topical
home,/gardening,topical
home,/home-inspection,topical
home,/home-storage,topical
home,/interior-design,topical
home,/lawn-care,topical
home,/outdoor-furniture,topical
home,/paint-supplies,topical
home,/real-estate,topical
home,/real-estate-appraisal,topical
home,/rugs,topical
home,/tile,topical
home,/title-insurance,topical
home,/tools,topical
home,/vacuums,topical
home,/water-filters,topical
home,/windows-and-doors,topical
humanities,/american-history,topical
humanities,/american-revolution,topical
humanities,/ancient-history,topical
humanities,/anthropology,topical
humanities,/archaeology,topical
humanities,/black-history,topical
humanities,/california-history,topical
humanities,/ebooks,topical
humanities,/egypt-history,topical
humanities,/exploration,topical
humanities,/grammar,topical
humanities,/history,topical
humanities,/literary-criticism,topical
humanities,/mythology,topical
humanities,/poetry,topical
humanities,/presidents,topical
humanities,/shakespeare,topical
humanities,/sociology,topical
humanities,/tolkien,topical
humanities,/womens-history,topical
humanities,/world-history,topical
humanities,/writing,topical
media,/award-shows,topical
media,/cartoons,topical
media,/classic-tv,topical
media,/cooking-shows,topical
media,/jewish-news,topical
media,/news,topical
media,/old-time-radio,topical
media,/public-radio,topical
media,/radio,topical
media,/reality-tv,topical
media,/sesame-street,topical
media,/soap-operas,topical
media,/social-news,topical
media,/tv,topical
media,/zines,topical
recreation,/africa-travel,topical
recreation,/airlines,topical
recreation,/airports,topical
recreation,/archery,topical
recreation,/asia-travel,topical
recreation,/astrology,topical
recreation,/aviation,topical
recreation,/canada-travel,topical
recreation,/candlemaking,topical
recreation,/car-rental,topical
recreation,/chess,topical
recreation,/coloring-pages,topical
recreation,/cruises,topical
recreation,/digital-scrapbooking,topical
recreation,/europe-travel,topical
recreation,/fabric,topical
recreation,/family-crafts,topical
recreation,/games,topical
recreation,/geocaching,topical
recreation,/hotels,topical
recreation,/knitting,topical
recreation,/luggage,topical
recreation,/national-parks,topical
recreation,/paintball,topical
recreation,/quilting,topical
recreation,/role playing games,topical
recreation,/rubber-stamps,topical
recreation,/safari,topical
recreation,/sailing,topical
recreation,/scrapbooking,topical
recreation,/sewing,topical
recreation,/skateboarding,topical
recreation,/soapmaking,topical
recreation,/softball,topical
recreation,/travel,topical
reference,/academic-libraries,topical
reference,/calendar,topical
reference,/chemistry-journals,topical
reference,/define,topical
reference,/digital-collections,topical
reference,/econ-journals,topical
reference,/history-journals,topical
reference,/jewish-libraries,topical
reference,/journals,topical
reference,/librarianship,topical
reference,/library-technology,topical
reference,/lis-journals,topical
reference,/literature-journals,topical
reference,/map-libraries,topical
reference,/math-journals,topical
reference,/medical-libraries,topical
reference,/people-search,topical
reference,/philosophy-journals,topical
reference,/public-libraries,topical
reference,/quotations,topical
reference,/sociology-journals,topical
reference,/theological-libraries,topical
science,/aerospace,topical
science,/anatomy,topical
science,/astronomy,topical
science,/botanical-gardens,topical
